#,Name,Primary Type,Secondary Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Variant,Generation,Evolution Stage,Category,Pre-evolution,Egg Group 1,Egg Group 2,Height (m),Weight (kg),Gender,Catch Rate,Catch Rate (%),Hatch Time,Egg Obtainable,Smash/Pass
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,,1,1,Seed,,Monster,Grass,0.7,6.9,Both,45,11.9%,20 cycles,Yes,Pass
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,,1,2,Seed,Bulbasaur,Monster,Grass,1.0,13.0,Both,45,11.9%,20 cycles,Yes,Pass
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,Mega Venusaur; Gigantamax Venusaur,1,3,Seed,Ivysaur,Monster,Grass,2.0,100.0,Both,45,11.9%,20 cycles,Yes,Pass
4,Charmander,Fire,Dragon,309,39,52,43,60,50,65,,1,1,Lizard,,Monster,Dragon,0.6,8.5,Both,45,11.9%,20 cycles,Yes,Pass
5,Charmeleon,Fire,Dragon,405,58,64,58,80,65,80,,1,2,Flame,Charmander,Monster,Dragon,1.1,19.0,Both,45,11.9%,20 cycles,Yes,Pass
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,Mega Charizard X; Mega Charizard Y; Gigantamax Charizard,1,3,Flame,Charmeleon,Monster,Dragon,1.7,90.5,Both,45,11.9%,20 cycles,Yes,Pass
7,Squirtle,Water,,314,44,48,65,50,64,43,,1,1,Tiny Turtle,,Monster,Water 1,0.5,9.0,Both,45,11.9%,20 cycles,Yes,Pass
8,Wartortle,Water,,405,59,63,80,65,80,58,,1,2,Turtle,Squirtle,Monster,Water 1,1.0,22.5,Both,45,11.9%,20 cycles,Yes,Pass
9,Blastoise,Water,,530,79,83,100,85,105,78,Mega Blastoise; Gigantamax Blastoise,1,3,Shellfish,Wartortle,Monster,Water 1,1.6,85.5,Both,45,11.9%,20 cycles,Yes,Pass
10,Caterpie,Bug,,195,45,30,35,20,20,45,,1,1,Worm,,Bug,,0.3,2.9,Both,255,43.9%,15 cycles,Yes,Pass
11,Metapod,Bug,,205,50,20,55,25,25,30,,1,2,Cocoon,Caterpie,Bug,,0.7,9.9,Both,120,24.9%,15 cycles,Yes,Pass
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,,1,3,Butterfly,Metapod,Bug,,1.1,32.0,Both,45,11.9%,15 cycles,Yes,Pass
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,,1,1,Hairy Bug,,Bug,,0.3,3.2,Both,255,43.9%,15 cycles,Yes,Pass
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,,1,2,Cocoon,Weedle,Bug,,0.6,10.0,Both,120,24.9%,15 cycles,Yes,Pass
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,Mega Beedrill,1,3,Poison Bee,Kakuna,Bug,,1.0,29.5,Both,45,11.9%,15 cycles,Yes,Smash
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,,1,1,Tiny Bird,,Flying,,0.3,1.8,Both,255,43.9%,15 cycles,Yes,Pass
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,,1,2,Bird,Pidgey,Flying,,1.1,30.0,Both,120,24.9%,15 cycles,Yes,Pass
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,Mega Pidgeot,1,3,Bird,Pidgeotto,Flying,,1.5,39.5,Both,45,11.9%,15 cycles,Yes,Pass
19,Rattata,Normal,Dark,253,30,56,35,25,35,72,Alolan Rattata,1,1,Mouse,,Field,,0.3,3.5,Both,255,43.9%,15 cycles,Yes,Pass
20,Raticate,Normal,Dark,413,55,81,60,50,70,97,Alolan Raticate,1,2,Mouse,Rattata,Field,,0.7,18.5,Both,127,26%,15 cycles,Yes,Pass
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,,1,1,Tiny Bird,,Flying,,0.3,2.0,Both,255,43.9%,15 cycles,Yes,Pass
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,,1,2,Beak,Spearow,Flying,,1.2,38.0,Both,90,20.1%,15 cycles,Yes,Pass
23,Ekans,Poison,Dragon,288,35,60,44,40,54,55,,1,1,Snake,,Field,Dragon,2.0,6.9,Both,255,43.9%,20 cycles,Yes,Pass
24,Arbok,Poison,Dragon,448,60,95,69,65,79,80,,1,2,Cobra,Ekans,Field,Dragon,3.5,65.0,Both,90,20.1%,20 cycles,Yes,Smash
25,Pikachu,Electric,Fairy,320,35,55,40,50,50,90,Cosplay Pikachu; Pikachu in a cap; Gigantamax Pikachu; Pale Pikachu; Partner Pikachu,1,2,Mouse,Pichu,Field,Fairy or No Eggs Discovered,0.4,6.0,Both,190,35.2%,10 cycles,Yes,Pass
26,Raichu,Electric,Psychic,485,60,90,55,90,80,110,Alolan Raichu; Mega Raichu X; Mega Raichu Y,1,3,Mouse,Pikachu,Field,Fairy,0.8,30.0,Both,75,17.5%,10 cycles,Yes,Pass
27,Sandshrew,Ground,Ice,300,50,75,85,20,30,40,Alolan Sandshrew,1,1,Mouse,,Field,,0.6,12.0,Both,255,43.9%,20 cycles,Yes,Pass
28,Sandslash,Ground,Ice,450,75,100,110,45,55,65,Alolan Sandslash,1,2,Mouse,Sandshrew,Field,,1.0,29.5,Both,90,20.1%,20 cycles,Yes,Pass
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,,1,1,Poison Pin,,Monster,Field,0.4,7.0,Female,235,41.3%,20 cycles,Yes,Pass
30,Nidorina,Poison,,365,70,62,67,55,55,56,,1,2,Poison Pin,Nidoran♀,No Eggs Discovered,,0.8,20.0,Female,120,24.9%,20 cycles,Yes,Pass
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,,1,3,Drill,Nidorina,No Eggs Discovered,,1.3,60.0,Female,45,11.9%,20 cycles,Yes,Pass
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,,1,1,Poison Pin,,Monster,Field,0.5,9.0,Male,235,41.3%,20 cycles,Yes,Pass
33,Nidorino,Poison,,365,61,72,57,55,55,65,,1,2,Poison Pin,Nidoran♂,Monster,Field,0.9,19.5,Male,120,24.9%,20 cycles,Yes,Pass
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,,1,3,Drill,Nidorino,Monster,Field,1.4,62.0,Male,45,11.9%,20 cycles,Yes,Pass
35,Clefairy,Fairy,,323,70,45,48,60,65,35,,1,2,Fairy,Cleffa,Fairy,,0.6,7.5,Both,150,29.5%,10 cycles,Yes,Pass
36,Clefable,Fairy,Flying,483,95,70,73,95,90,60,Mega Clefable,1,3,Fairy,Clefairy,Fairy,,1.3,40.0,Both,25,7.7%,10 cycles,Yes,Pass
37,Vulpix,Fire,Ice,299,38,41,40,50,65,65,Alolan Vulpix,1,1,Fox,,Field,,0.6,9.9,Both,190,35.2%,20 cycles,Yes,Pass
38,Ninetales,Fire,Ice,505,73,76,75,81,100,100,Alolan Ninetales,1,2,Fox,Vulpix,Field,,1.1,19.9,Both,75,17.5%,20 cycles,Yes,Smash
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,,1,2,Balloon,Igglybuff,Fairy,,0.5,5.5,Both,170,32.4%,10 cycles,Yes,Pass
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,,1,3,Balloon,Jigglypuff,Fairy,,1.0,12.0,Both,50,12.9%,10 cycles,Yes,Pass
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,,1,1,Bat,,Flying,,0.8,7.5,Both,255,43.9%,15 cycles,Yes,Pass
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,,1,2,Bat,Zubat,Flying,,1.6,55.0,Both,90,20.1%,15 cycles,Yes,Pass
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,,1,1,Weed,,Grass,,0.5,5.4,Both,255,43.9%,20 cycles,Yes,Pass
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,,1,2,Weed,Oddish,Grass,,0.8,8.6,Both,120,24.9%,20 cycles,Yes,Pass
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,,1,3,Flower,Gloom,Grass,,1.2,18.6,Both,45,11.9%,20 cycles,Yes,Pass
46,Paras,Bug,Grass,285,35,70,55,45,55,25,,1,1,Mushroom,,Bug,Grass,0.3,5.4,Both,190,35.2%,20 cycles,Yes,Pass
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,,1,2,Mushroom,Paras,Bug,Grass,1.0,29.5,Both,75,17.5%,20 cycles,Yes,Pass
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,,1,1,Insect,,Bug,,1.0,30.0,Both,190,35.2%,20 cycles,Yes,Pass
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,,1,2,Poison Moth,Venonat,Bug,,1.5,12.5,Both,75,17.5%,20 cycles,Yes,Pass
50,Diglett,Ground,Steel,265,10,55,25,35,45,95,Alolan Diglett,1,1,Mole,,Field,,0.2,0.8,Both,255,43.9%,20 cycles,Yes,Smash
51,Dugtrio,Ground,Steel,425,35,100,50,50,70,120,Alolan Dugtrio,1,2,Mole,Diglett,Field,,0.7,33.3,Both,50,12.9%,20 cycles,Yes,Smash
52,Meowth,Normal,Dark,290,40,45,35,40,40,90,Alolan Meowth; Galarian Meowth; Gigantamax Meowth,1,1,Scratch Cat,,Field,,0.4,4.2,Both,255,43.9%,20 cycles,Yes,Pass
53,Persian,Normal,Dark,440,65,70,60,65,65,115,Alolan Persian,1,2,Classy Cat,Meowth,Field,,1.0,32.0,Both,90,20.1%,20 cycles,Yes,Pass
54,Psyduck,Water,,320,50,52,48,65,50,55,,1,1,Duck,,Water 1,Field,0.8,19.6,Both,190,35.2%,20 cycles,Yes,Pass
55,Golduck,Water,,500,80,82,78,95,80,85,,1,2,Duck,Psyduck,Water 1,Field,1.7,76.6,Both,75,17.5%,20 cycles,Yes,Pass
56,Mankey,Fighting,,305,40,80,35,35,45,70,,1,1,Pig Monkey,,Field,,0.5,28.0,Both,190,35.2%,20 cycles,Yes,Pass
57,Primeape,Fighting,,455,65,105,60,60,70,95,,1,2,Pig Monkey,Mankey,Field,,1.0,32.0,Both,75,17.5%,20 cycles,Yes,Pass
